№	Категория	Производитель	Наименование	Характеристика	Штрих код																																																																																																																					
1	Майонез	"ГК ""НМЖК"""	Майонез провансаль Ряба	25 г	4 600 528 342 703																																																																																																																					
2				140 г	4 600 528 340 198																																																																																																																					
3				233 г	4 600 528 340 204																																																																																																																					
4				400 г	4 600 528 347 528																																																																																																																					
5				410 г	4 600 528 347 821																																																																																																																					
6				744 г	4 600 528 347 661																																																																																																																					
7				837 г	4 600 528 345 629																																																																																																																					
8	Майонез	"ОАО "" НЭФИС-Биопродукт"""	"Майонез Mr.Ricco ""Провансаль"" Organic"	220	4 604 075 032 124																																																																																																																					
9				400	4 604 075 032 148																																																																																																																					
10				450	4 604 075 032 025																																																																																																																					
11				750	4 604 075 032 049																																																																																																																					
12				800	4 604 075 034 067																																																																																																																					
13	Майонез	"ООО ""Компания СКИТ"""	Майонез СКИТ Провансаль	135	4 600 699 505 440																																																																																																																					
14				225	4 601 363 001 329																																																																																																																					
15				400	4 601 363 001 923																																																																																																																					
16				450	4 601 363 001 336																																																																																																																					
17				675	4 601 363 001 572																																																																																																																					
18				900	4 601 363 001 343																																																																																																																					
19	Майонез	"Холдинг ""Солнечные продукты"""	Майонез Новосибирский провансаль	250 мл	4 601 272 003 209																																																																																																																					
20				400 мл 	4 600 851 011 475																																																																																																																					
21				460 мл	4 601 272 003 322																																																																																																																					
22				700 мл	4 600 851 011 482																																																																																																																					
23				750 мл	4 600 851 008 208																																																																																																																					
24				900 мл	4 601 272 001 465																																																																																																																					
25				850 мл	4 600 851 010 423																																																																																																																					
26				стекло 850 мл	4 600 851 010 447																																																																																																																					
27				сттекло 450 мл	4 600 851 010 454																																																																																																																					
28	Майонез	"Холдинг ""Солнечные продукты"""	Майонез Провансаль Букет	230 мл 	4 600 851 008 079																																																																																																																					
29				470 мл	4 600 851 008 086																																																																																																																					
30	Масло подсолнечное рафинированное	"ОАО ""ЭФКО"""	"
Слобода"	0,8 л	4 600 699 504 016																																																																																																																					
31				1 л	4 600 699 501 121																																																																																																																					
32				3 л	4 600 699 502 043																																																																																																																					
33				5 л	4 600 699 502 050																																																																																																																					
34				2,7 л	4 600 699 508 564																																																																																																																					
35				1,8 л	4 600 699 502 494																																																																																																																					
36			Россиянка	1 л	4 603 990 002 649																																																																																																																					
37				1,7 л	4 600 851 010 621																																																																																																																					
38				2 л	4 601 085 100 762																																																																																																																					
